LAUS,State,County,id,Name,Year,Labor_Force,Employed,Unemployed,rate
CN4704500000000,47,045,47045,"Dyer County, TN",2022,"16,521     ","15,931     ",590     ,3.6     
CN4704700000000,47,047,47047,"Fayette County, TN",2022,"19,197     ","18,524     ",673     ,3.5     
CN4704900000000,47,049,47049,"Fentress County, TN",2022,"7,707     ","7,416     ",291     ,3.8     
CN4705100000000,47,051,47051,"Franklin County, TN",2022,"19,165     ","18,489     ",676     ,3.5     
CN4705300000000,47,053,47053,"Gibson County, TN",2022,"21,566     ","20,803     ",763     ,3.5     
CN4705500000000,47,055,47055,"Giles County, TN",2022,"14,891     ","14,403     ",488     ,3.3     
CN4705700000000,47,057,47057,"Grainger County, TN",2022,"9,725     ","9,352     ",373     ,3.8     
CN4705900000000,47,059,47059,"Greene County, TN",2022,"28,801     ","27,655     ","1,146     ",4.0     
CN4706100000000,47,061,47061,"Grundy County, TN",2022,"4,927     ","4,704     ",223     ,4.5     
CN4706300000000,47,063,47063,"Hamblen County, TN",2022,"28,128     ","27,104     ","1,024     ",3.6     
CN4706500000000,47,065,47065,"Hamilton County, TN",2022,"183,056     ","176,782     ","6,274     ",3.4     
CN4706700000000,47,067,47067,"Hancock County, TN",2022,"2,276     ","2,181     ",95     ,4.2     
CN4706900000000,47,069,47069,"Hardeman County, TN",2022,"8,932     ","8,556     ",376     ,4.2     
CN4707100000000,47,071,47071,"Hardin County, TN",2022,"10,064     ","9,660     ",404     ,4.0     
CN4707300000000,47,073,47073,"Hawkins County, TN",2022,"23,161     ","22,260     ",901     ,3.9     
CN4707500000000,47,075,47075,"Haywood County, TN",2022,"7,554     ","7,213     ",341     ,4.5     
CN4707700000000,47,077,47077,"Henderson County, TN",2022,"11,713     ","11,286     ",427     ,3.6     
CN4707900000000,47,079,47079,"Henry County, TN",2022,"13,556     ","13,016     ",540     ,4.0     
CN4708100000000,47,081,47081,"Hickman County, TN",2022,"11,742     ","11,402     ",340     ,2.9     
CN4708300000000,47,083,47083,"Houston County, TN",2022,"3,194     ","3,055     ",139     ,4.4     
CN4708500000000,47,085,47085,"Humphreys County, TN",2022,"8,632     ","8,332     ",300     ,3.5     
CN4708700000000,47,087,47087,"Jackson County, TN",2022,"4,776     ","4,591     ",185     ,3.9     
CN4708900000000,47,089,47089,"Jefferson County, TN",2022,"24,998     ","24,088     ",910     ,3.6     
CN4709100000000,47,091,47091,"Johnson County, TN",2022,"7,513     ","7,258     ",255     ,3.4     
CN4709300000000,47,093,47093,"Knox County, TN",2022,"250,987     ","243,788     ","7,199     ",2.9     
CN4709500000000,47,095,47095,"Lake County, TN",2022,"1,628     ","1,547     ",81     ,5.0     
CN4709700000000,47,097,47097,"Lauderdale County, TN",2022,"9,395     ","8,955     ",440     ,4.7     
CN4709900000000,47,099,47099,"Lawrence County, TN",2022,"19,229     ","18,560     ",669     ,3.5     
CN4710100000000,47,101,47101,"Lewis County, TN",2022,"5,563     ","5,362     ",201     ,3.6     
CN4710300000000,47,103,47103,"Lincoln County, TN",2022,"16,608     ","16,073     ",535     ,3.2     
CN4710500000000,47,105,47105,"Loudon County, TN",2022,"24,373     ","23,581     ",792     ,3.2     
CN4710700000000,47,107,47107,"McMinn County, TN",2022,"21,489     ","20,619     ",870     ,4.0     
CN4710900000000,47,109,47109,"McNairy County, TN",2022,"8,382     ","7,998     ",384     ,4.6     
CN4711100000000,47,111,47111,"Macon County, TN",2022,"11,649     ","11,292     ",357     ,3.1     
CN4711300000000,47,113,47113,"Madison County, TN",2022,"49,127     ","47,441     ","1,686     ",3.4     
CN4711500000000,47,115,47115,"Marion County, TN",2022,"12,271     ","11,794     ",477     ,3.9     
CN4711700000000,47,117,47117,"Marshall County, TN",2022,"15,607     ","15,093     ",514     ,3.3     
CN4711900000000,47,119,47119,"Maury County, TN",2022,"52,962     ","51,352     ","1,610     ",3.0     
CN4712100000000,47,121,47121,"Meigs County, TN",2022,"5,174     ","4,948     ",226     ,4.4     
CN4712300000000,47,123,47123,"Monroe County, TN",2022,"20,967     ","20,244     ",723     ,3.4     
CN4712500000000,47,125,47125,"Montgomery County, TN",2022,"88,027     ","84,751     ","3,276     ",3.7     
CN4712700000000,47,127,47127,"Moore County, TN",2022,"3,687     ","3,596     ",91     ,2.5     
CN4712900000000,47,129,47129,"Morgan County, TN",2022,"7,845     ","7,546     ",299     ,3.8     
CN4713100000000,47,131,47131,"Obion County, TN",2022,"12,696     ","12,207     ",489     ,3.9     
CN4713300000000,47,133,47133,"Overton County, TN",2022,"9,977     ","9,639     ",338     ,3.4     
CN4713500000000,47,135,47135,"Perry County, TN",2022,"2,765     ","2,616     ",149     ,5.4     
CN4713700000000,47,137,47137,"Pickett County, TN",2022,"2,180     ","2,097     ",83     ,3.8     
CN4713900000000,47,139,47139,"Polk County, TN",2022,"7,045     ","6,782     ",263     ,3.7     
CN4714100000000,47,141,47141,"Putnam County, TN",2022,"35,382     ","34,192     ","1,190     ",3.4     
CN4714300000000,47,143,47143,"Rhea County, TN",2022,"13,880     ","13,290     ",590     ,4.3     
CN4714500000000,47,145,47145,"Roane County, TN",2022,"23,755     ","22,885     ",870     ,3.7     
CN4714700000000,47,147,47147,"Robertson County, TN",2022,"39,207     ","38,096     ","1,111     ",2.8     
CN4714900000000,47,149,47149,"Rutherford County, TN",2022,"195,582     ","190,279     ","5,303     ",2.7     
CN4715100000000,47,151,47151,"Scott County, TN",2022,"8,108     ","7,712     ",396     ,4.9     
CN4715300000000,47,153,47153,"Sequatchie County, TN",2022,"6,161     ","5,907     ",254     ,4.1     
CN4715500000000,47,155,47155,"Sevier County, TN",2022,"54,967     ","53,233     ","1,734     ",3.2     
CN4715700000000,47,157,47157,"Shelby County, TN",2022,"437,751     ","417,985     ","19,766     ",4.5     
CN4715900000000,47,159,47159,"Smith County, TN",2022,"9,753     ","9,463     ",290     ,3.0     
CN4716100000000,47,161,47161,"Stewart County, TN",2022,"5,469     ","5,258     ",211     ,3.9     
CN4716300000000,47,163,47163,"Sullivan County, TN",2022,"68,794     ","66,378     ","2,416     ",3.5     
CN4716500000000,47,165,47165,"Sumner County, TN",2022,"108,770     ","105,791     ","2,979     ",2.7     
CN4716700000000,47,167,47167,"Tipton County, TN",2022,"27,585     ","26,587     ",998     ,3.6     
CN4716900000000,47,169,47169,"Trousdale County, TN",2022,"5,724     ","5,553     ",171     ,3.0     
CN4717100000000,47,171,47171,"Unicoi County, TN",2022,"7,061     ","6,755     ",306     ,4.3     
CN4717300000000,47,173,47173,"Union County, TN",2022,"7,857     ","7,560     ",297     ,3.8     
CN4717500000000,47,175,47175,"Van Buren County, TN",2022,"2,058     ","1,971     ",87     ,4.2     
CN4717700000000,47,177,47177,"Warren County, TN",2022,"16,402     ","15,721     ",681     ,4.2     
CN4717900000000,47,179,47179,"Washington County, TN",2022,"61,344     ","59,362     ","1,982     ",3.2     
CN4718100000000,47,181,47181,"Wayne County, TN",2022,"6,488     ","6,195     ",293     ,4.5     
CN4718300000000,47,183,47183,"Weakley County, TN",2022,"15,294     ","14,764     ",530     ,3.5     
CN4718500000000,47,185,47185,"White County, TN",2022,"12,024     ","11,604     ",420     ,3.5     
CN4718700000000,47,187,47187,"Williamson County, TN",2022,"138,115     ","134,800     ","3,315     ",2.4     
CN4718900000000,47,189,47189,"Wilson County, TN",2022,"81,932     ","79,774     ","2,158     ",2.6     
CN4800100000000,48,001,48001,"Anderson County, TX",2022,"23,086     ","22,295     ",791     ,3.4     
CN4800300000000,48,003,48003,"Andrews County, TX",2022,"9,455     ","9,154     ",301     ,3.2     
CN4800500000000,48,005,48005,"Angelina County, TX",2022,"35,480     ","33,856     ","1,624     ",4.6     
CN4800700000000,48,007,48007,"Aransas County, TX",2022,"9,294     ","8,806     ",488     ,5.3     
CN4800900000000,48,009,48009,"Archer County, TX",2022,"4,013     ","3,878     ",135     ,3.4     
CN4801100000000,48,011,48011,"Armstrong County, TX",2022,939     ,913     ,26     ,2.8     
CN4801300000000,48,013,48013,"Atascosa County, TX",2022,"22,510     ","21,604     ",906     ,4.0     
CN4801500000000,48,015,48015,"Austin County, TX",2022,"14,123     ","13,569     ",554     ,3.9     
CN4801700000000,48,017,48017,"Bailey County, TX",2022,"2,414     ","2,312     ",102     ,4.2     
CN4801900000000,48,019,48019,"Bandera County, TX",2022,"10,624     ","10,234     ",390     ,3.7     
CN4802100000000,48,021,48021,"Bastrop County, TX",2022,"48,156     ","46,546     ","1,610     ",3.3     
CN4802300000000,48,023,48023,"Baylor County, TX",2022,"1,925     ","1,873     ",52     ,2.7     
CN4802500000000,48,025,48025,"Bee County, TX",2022,"9,159     ","8,626     ",533     ,5.8     
CN4802700000000,48,027,48027,"Bell County, TX",2022,"149,332     ","142,742     ","6,590     ",4.4     
CN4802900000000,48,029,48029,"Bexar County, TX",2022,"978,125     ","941,971     ","36,154     ",3.7     
CN4803100000000,48,031,48031,"Blanco County, TX",2022,"7,133     ","6,934     ",199     ,2.8     
CN4803300000000,48,033,48033,"Borden County, TX",2022,701     ,688     ,13     ,1.9     
CN4803500000000,48,035,48035,"Bosque County, TX",2022,"8,704     ","8,383     ",321     ,3.7     
CN4803700000000,48,037,48037,"Bowie County, TX",2022,"38,577     ","36,803     ","1,774     ",4.6     
CN4803900000000,48,039,48039,"Brazoria County, TX",2022,"184,468     ","176,132     ","8,336     ",4.5     
CN4804100000000,48,041,48041,"Brazos County, TX",2022,"128,477     ","124,512     ","3,965     ",3.1     
CN4804300000000,48,043,48043,"Brewster County, TX",2022,"4,233     ","4,090     ",143     ,3.4     
CN4804500000000,48,045,48045,"Briscoe County, TX",2022,603     ,582     ,21     ,3.5     
CN4804700000000,48,047,48047,"Brooks County, TX",2022,"2,381     ","2,239     ",142     ,6.0     
CN4804900000000,48,049,48049,"Brown County, TX",2022,"15,271     ","14,609     ",662     ,4.3     
CN4805100000000,48,051,48051,"Burleson County, TX",2022,"8,857     ","8,539     ",318     ,3.6     
CN4805300000000,48,053,48053,"Burnet County, TX",2022,"25,614     ","24,857     ",757     ,3.0     
CN4805500000000,48,055,48055,"Caldwell County, TX",2022,"21,275     ","20,540     ",735     ,3.5     
CN4805700000000,48,057,48057,"Calhoun County, TX",2022,"12,272     ","11,822     ",450     ,3.7     
CN4805900000000,48,059,48059,"Callahan County, TX",2022,"6,279     ","6,055     ",224     ,3.6     
CN4806100000000,48,061,48061,"Cameron County, TX",2022,"177,545     ","167,496     ","10,049     ",5.7     
CN4806300000000,48,063,48063,"Camp County, TX",2022,"5,137     ","4,908     ",229     ,4.5     
CN4806500000000,48,065,48065,"Carson County, TX",2022,"3,016     ","2,924     ",92     ,3.1     
CN4806700000000,48,067,48067,"Cass County, TX",2022,"12,022     ","11,461     ",561     ,4.7     
CN4806900000000,48,069,48069,"Castro County, TX",2022,"3,351     ","3,247     ",104     ,3.1     
CN4807100000000,48,071,48071,"Chambers County, TX",2022,"21,015     ","19,906     ","1,109     ",5.3     
CN4807300000000,48,073,48073,"Cherokee County, TX",2022,"20,574     ","19,665     ",909     ,4.4     
CN4807500000000,48,075,48075,"Childress County, TX",2022,"3,189     ","3,099     ",90     ,2.8     
CN4807700000000,48,077,48077,"Clay County, TX",2022,"4,867     ","4,680     ",187     ,3.8     
